destino,aerolinea,horaPrevista,horaSalida,temperatura,presion,velocidadViento,direccionViento,visibilidad,tipoNubosidad,alturaNubosidad,retrasado
Moscow,Aeroflot,00:10,00:12,11,1013,11,S,10000,Parcialmente nublado,2286,Si
Moscow,Aeromexico,00:10,00:12,11,1013,11,S,10000,Parcialmente nublado,2286,Si
Moscow,Air Europa,00:10,00:12,11,1013,11,S,10000,Parcialmente nublado,2286,Si
Lima,LAN Peru,00:40,00:44,12,1013,13,SO,10000,Parcialmente nublado,1219,Si
Lima,Iberia,00:40,00:44,12,1013,13,SO,10000,Parcialmente nublado,1219,Si
Lima,LAN Airlines,00:40,00:44,12,1013,13,SO,10000,Parcialmente nublado,1219,Si
Lima,Iberia,01:00,00:58,11,1013,14,SO,10000,Mayormente nublado,1372,No
Lima,British Airways,01:00,00:58,11,1013,14,SO,10000,Mayormente nublado,1372,No
Lima,LAN Airlines,01:00,00:58,11,1013,14,SO,10000,Mayormente nublado,1372,No
Lima,El Al,01:00,00:58,11,1013,14,SO,10000,Mayormente nublado,1372,No
Lima,Qatar Airways,01:00,00:58,11,1013,14,SO,10000,Mayormente nublado,1372,No
San Pedro Sula,Air Europa,01:35,02:05,11,1012,9,SO,10000,Mayormente nublado,2316,Si
Kiev,Ukraine Int. Airlines,02:25,02:25,11,1012,9,S,10000,Mayormente nublado,2134,No
Porto,White,05:45,05:44,11,1010,24,SO,10000,Parcialmente nublado,1981,No
Porto,El Al,05:45,05:44,11,1010,24,SO,10000,Parcialmente nublado,1981,No
Porto,TAP Portugal,05:45,05:44,11,1010,24,SO,10000,Parcialmente nublado,1981,No
Rome,Alitalia,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Rome,China Southern Airlines,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Rome,Etihad Airways,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Rome,Bulgaria Air,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Rome,Hainan Airlines,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Rome,Uzbekistan Airways,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Rome,AirSERBIA,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Rome,Kenya Airways,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Rome,MEA,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Rome,Air Europa,05:50,06:07,11,1010,24,SO,10000,Parcialmente nublado,1981,Si
Amsterdam,KLM,06:00,06:12,12,1010,20,SO,10000,Mayormente nublado,1676,Si
Amsterdam,China Airlines,06:00,06:12,12,1010,20,SO,10000,Mayormente nublado,1676,Si
Amsterdam,Delta Air Lines,06:00,06:12,12,1010,20,SO,10000,Mayormente nublado,1676,Si
