destino,aerolinea,horaPrevista,horaSalida,temperatura,presion,velocidadViento,direccionViento,visibilidad,tipoNubosidad,alturaNubosidad
Moscow,Aeroflot,00:10,00:06,13,1009,27,SO,10000,Parcialmente nublado,2134
Moscow,Aeromexico,00:10,00:06,13,1009,27,SO,10000,Parcialmente nublado,2134
Moscow,Aerolineas Argentinas,00:10,00:06,13,1009,27,SO,10000,Parcialmente nublado,2134
Moscow,Air Europa,00:10,00:06,13,1009,27,SO,10000,Parcialmente nublado,2134
Lima,LAN Peru,00:40,00:40,13,1010,29,SO,10000,Parcialmente nublado,1829
Lima,Iberia,00:40,00:40,13,1010,29,SO,10000,Parcialmente nublado,1829
Lima,LAN Airlines,00:40,00:40,13,1010,29,SO,10000,Parcialmente nublado,1829
Quito,Plus Ultra,01:05,02:52,13,1010,25,SO,10000,Parcialmente nublado,1829
Quito,Air Europa,01:35,02:42,13,1009,22,SO,10000,Mayormente nublado,610
Porto,White,05:45,05:45,12,1010,13,SO,10000,Mayormente nublado,549
Porto,Air India,05:45,05:45,12,1010,13,SO,10000,Mayormente nublado,549
Porto,El Al,05:45,05:45,12,1010,13,SO,10000,Mayormente nublado,549
Porto,TAP Portugal,05:45,05:45,12,1010,13,SO,10000,Mayormente nublado,549
Amsterdam,KLM,06:00,05:57,12,1011,18,SO,10000,Mayormente nublado,610
Amsterdam,China Airlines,06:00,05:57,12,1011,18,SO,10000,Mayormente nublado,610
Amsterdam,Delta Air Lines,06:00,05:57,12,1011,18,SO,10000,Mayormente nublado,610
Amsterdam,Etihad Airways,06:00,05:57,12,1011,18,SO,10000,Mayormente nublado,610
Amsterdam,GOL Transportes Aeros,06:00,05:57,12,1011,18,SO,10000,Mayormente nublado,610
Amsterdam,Kenya Airways,06:00,05:57,12,1011,18,SO,10000,Mayormente nublado,610
Amsterdam,Xiamen Airlines,06:00,05:57,12,1011,18,SO,10000,Mayormente nublado,610
Amsterdam,China Eastern Airlines,06:00,05:57,12,1011,18,SO,10000,Mayormente nublado,610
Amsterdam,Ukraine Int. Airlines,06:00,05:57,12,1011,18,SO,10000,Mayormente nublado,610
Kiev,Ryanair,06:10,06:17,12,1011,18,SO,10000,Mayormente nublado,610
Frankfurt,Lufthansa,06:10,06:14,12,1011,18,SO,10000,Mayormente nublado,610
Frankfurt,Air Canada,06:10,06:14,12,1011,18,SO,10000,Mayormente nublado,610
Frankfurt,Austrian Airlines,06:10,06:14,12,1011,18,SO,10000,Mayormente nublado,610
Frankfurt,Singapore Airlines,06:10,06:14,12,1011,18,SO,10000,Mayormente nublado,610
Frankfurt,United Airlines,06:10,06:14,12,1011,18,SO,10000,Mayormente nublado,610
Frankfurt,Oman Air,06:10,06:14,12,1011,18,SO,10000,Mayormente nublado,610
Asturias,Wasaya Airways,06:15,06:16,12,1011,18,SO,10000,Mayormente nublado,610
Asturias,Air Europa,06:15,06:16,12,1011,18,SO,10000,Mayormente nublado,610
London,Ryanair,06:15,06:23,12,1011,18,SO,10000,Mayormente nublado,610
Prague,Ryanair,06:15,06:20,12,1011,18,SO,10000,Mayormente nublado,610
Berlin,Ryanair,06:20,06:25,12,1011,18,SO,10000,Mayormente nublado,610
Seville,Wasaya Airways,06:20,06:28,12,1011,18,SO,10000,Mayormente nublado,610
Seville,Aeromexico,06:20,06:28,12,1011,18,SO,10000,Mayormente nublado,610
Seville,Air Europa,06:20,06:28,12,1011,18,SO,10000,Mayormente nublado,610
Brussels,Brussels Airlines,06:25,06:22,12,1011,18,SO,10000,Mayormente nublado,610
Brussels,Air Canada,06:25,06:22,12,1011,18,SO,10000,Mayormente nublado,610
Brussels,Etihad Airways,06:25,06:22,12,1011,18,SO,10000,Mayormente nublado,610
Brussels,Hainan Airlines,06:25,06:22,12,1011,18,SO,10000,Mayormente nublado,610
Brussels,Lufthansa,06:25,06:22,12,1011,18,SO,10000,Mayormente nublado,610
Brussels,United Airlines,06:25,06:22,12,1011,18,SO,10000,Mayormente nublado,610
Athens,Ryanair,06:25,06:30,12,1011,18,SO,10000,Mayormente nublado,610
Bilbao,Iberia,06:30,06:30,12,1011,11,SO,10000,Mayormente nublado,1067
Barcelona,Vueling,06:30,06:31,12,1011,11,SO,10000,Mayormente nublado,1067
Barcelona,Iberia,06:30,06:31,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,Air France,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,China Southern Airlines,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,Delta Air Lines,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,GOL Transportes Aeros,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,Atlasjet,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,Kenya Airways,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,Air Mauritius,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,China Eastern Airlines,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,Singapore Airlines,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,Air Europa,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Paris,Vietnam Airlines,06:40,06:53,12,1011,11,SO,10000,Mayormente nublado,1067
Alicante,Wasaya Airways,06:50,06:46,12,1011,11,SO,10000,Mayormente nublado,1067
Alicante,Aeromexico,06:50,06:46,12,1011,11,SO,10000,Mayormente nublado,1067
Alicante,Air Europa,06:50,06:46,12,1011,11,SO,10000,Mayormente nublado,1067
Valencia,Wasaya Airways,06:50,06:56,12,1011,11,SO,10000,Mayormente nublado,1067
Valencia,Aeromexico,06:50,06:56,12,1011,11,SO,10000,Mayormente nublado,1067
Valencia,Air Europa,06:50,06:56,12,1011,11,SO,10000,Mayormente nublado,1067
London,Iberia,06:50,07:05,12,1011,11,SO,10000,Mayormente nublado,1067
London,American Airlines,06:50,07:05,12,1011,11,SO,10000,Mayormente nublado,1067
London,British Airways,06:50,07:05,12,1011,11,SO,10000,Mayormente nublado,1067
London,Japan Airlines,06:50,07:05,12,1011,11,SO,10000,Mayormente nublado,1067
Las Palmas,Air Europa,07:00,07:06,11,1011,9,O,10000,Mayormente nublado,1067
Las Palmas,Aeromexico,07:00,07:06,11,1011,9,O,10000,Mayormente nublado,1067
Las Palmas,Aerolineas Argentinas,07:00,07:06,11,1011,9,O,10000,Mayormente nublado,1067
Barcelona,Iberia,07:00,07:03,11,1011,9,O,10000,Mayormente nublado,1067
Barcelona,Cathay Pacific,07:00,07:03,11,1011,9,O,10000,Mayormente nublado,1067
Tenerife,Air Europa,07:05,07:03,11,1011,9,O,10000,Mayormente nublado,1067
Tenerife,KLM,07:05,07:03,11,1011,9,O,10000,Mayormente nublado,1067
Malaga,Wasaya Airways,07:05,07:04,11,1011,9,O,10000,Mayormente nublado,1067
Malaga,Aeromexico,07:05,07:04,11,1011,9,O,10000,Mayormente nublado,1067
Malaga,Air Europa,07:05,07:04,11,1011,9,O,10000,Mayormente nublado,1067
Badajoz,Air Nostrum,07:05,07:19,11,1011,9,O,10000,Mayormente nublado,1067
Badajoz,Iberia,07:05,07:19,11,1011,9,O,10000,Mayormente nublado,1067
Ibiza,Ryanair,07:10,07:10,11,1011,9,O,10000,Mayormente nublado,1067
Jerez,Air Nostrum,07:10,07:14,11,1011,9,O,10000,Mayormente nublado,1067
Jerez,American Airlines,07:10,07:14,11,1011,9,O,10000,Mayormente nublado,1067
Jerez,Iberia,07:10,07:14,11,1011,9,O,10000,Mayormente nublado,1067
Bordeaux,Air Nostrum,07:15,07:15,11,1011,9,O,10000,Mayormente nublado,1067
Bordeaux,American Airlines,07:15,07:15,11,1011,9,O,10000,Mayormente nublado,1067
Bordeaux,Iberia,07:15,07:15,11,1011,9,O,10000,Mayormente nublado,1067
Amsterdam,Air Europa,07:15,07:20,11,1011,9,O,10000,Mayormente nublado,1067
Amsterdam,Aeromexico,07:15,07:20,11,1011,9,O,10000,Mayormente nublado,1067
Amsterdam,China Airlines,07:15,07:20,11,1011,9,O,10000,Mayormente nublado,1067
Amsterdam,Delta Air Lines,07:15,07:20,11,1011,9,O,10000,Mayormente nublado,1067
Amsterdam,Garuda Indonesia,07:15,07:20,11,1011,9,O,10000,Mayormente nublado,1067
Amsterdam,KLM,07:15,07:20,11,1011,9,O,10000,Mayormente nublado,1067
Amsterdam,Xiamen Airlines,07:15,07:20,11,1011,9,O,10000,Mayormente nublado,1067
Paris,Air Europa,07:15,07:24,11,1011,9,O,10000,Mayormente nublado,1067
Paris,Air France,07:15,07:24,11,1011,9,O,10000,Mayormente nublado,1067
Paris,Aeromexico,07:15,07:24,11,1011,9,O,10000,Mayormente nublado,1067
Paris,Delta Air Lines,07:15,07:24,11,1011,9,O,10000,Mayormente nublado,1067
Paris,China Eastern Airlines,07:15,07:24,11,1011,9,O,10000,Mayormente nublado,1067
Palma de Mallorca,Iberia Express,07:20,07:18,11,1011,9,O,10000,Mayormente nublado,1067
Palma de Mallorca,American Airlines,07:20,07:18,11,1011,9,O,10000,Mayormente nublado,1067
Palma de Mallorca,Iberia,07:20,07:18,11,1011,9,O,10000,Mayormente nublado,1067
Toulouse,Air Nostrum,07:20,07:15,11,1011,9,O,10000,Mayormente nublado,1067
Toulouse,Iberia,07:20,07:15,11,1011,9,O,10000,Mayormente nublado,1067
A Coruna,Iberia,07:25,07:25,11,1011,9,O,10000,Mayormente nublado,1067
A Coruna,American Airlines,07:25,07:25,11,1011,9,O,10000,Mayormente nublado,1067
Malaga,Iberia Express,07:25,07:25,11,1011,9,O,10000,Mayormente nublado,1067
Malaga,American Airlines,07:25,07:25,11,1011,9,O,10000,Mayormente nublado,1067
Malaga,Iberia,07:25,07:25,11,1011,9,O,10000,Mayormente nublado,1067
Santiago,Iberia Express,07:25,07:24,11,1011,9,O,10000,Mayormente nublado,1067
Santiago,American Airlines,07:25,07:24,11,1011,9,O,10000,Mayormente nublado,1067
Santiago,Iberia,07:25,07:24,11,1011,9,O,10000,Mayormente nublado,1067
Lisbon,Iberia,07:25,07:22,11,1011,9,O,10000,Mayormente nublado,1067
Lisbon,American Airlines,07:25,07:22,11,1011,9,O,10000,Mayormente nublado,1067
Lisbon,LAN Airlines,07:25,07:22,11,1011,9,O,10000,Mayormente nublado,1067
Lisbon,Qatar Airways,07:25,07:22,11,1011,9,O,10000,Mayormente nublado,1067
